"Target_PosX";"Mouse_PosX";"Mouse_PosY";"Gender(m/w)";"Target_distance";"Age";"UserID";"Trial";"Target_PosY";"Target_width";"Click_PosY";"Time(ms)";"Click_PosX";"Timestamp(ISO)"
"432";"0";"557";"w";"450";"55";"1";"1";"540";"35";"568";"3266";"451";"2014-04-27 12:13:37"
"250";"0";"590";"w";"300";"55";"1";"2";"540";"100";"605";"1011";"306";"2014-04-27 12:13:39"
"140";"0";"570";"w";"170";"55";"1";"3";"540";"60";"573";"1170";"167";"2014-04-27 12:13:40"
"270";"0";"570";"w";"300";"55";"1";"4";"540";"60";"554";"870";"288";"2014-04-27 12:13:41"
"85";"0";"625";"w";"170";"55";"1";"5";"540";"170";"593";"705";"152";"2014-04-27 12:13:42"
"152";"0";"557";"w";"170";"55";"1";"6";"540";"35";"552";"752";"180";"2014-04-27 12:13:43"
"120";"0";"590";"w";"170";"55";"1";"7";"540";"100";"569";"664";"160";"2014-04-27 12:13:44"
"120";"0";"590";"w";"170";"55";"1";"8";"540";"100";"577";"642";"172";"2014-04-27 12:13:45"
"120";"0";"590";"w";"170";"55";"1";"9";"540";"100";"590";"656";"192";"2014-04-27 12:13:46"
"85";"0";"625";"w";"170";"55";"1";"10";"540";"170";"613";"578";"219";"2014-04-27 12:13:47"
"270";"0";"570";"w";"300";"55";"1";"11";"540";"60";"569";"821";"310";"2014-04-27 12:13:48"
"152";"0";"557";"w";"170";"55";"1";"12";"540";"35";"562";"750";"173";"2014-04-27 12:13:49"
"615";"0";"625";"w";"700";"55";"1";"13";"540";"170";"629";"891";"691";"2014-04-27 12:13:50"
"400";"0";"590";"w";"450";"55";"1";"14";"540";"100";"559";"1084";"469";"2014-04-27 12:13:51"
"420";"0";"570";"w";"450";"55";"1";"15";"540";"60";"560";"944";"440";"2014-04-27 12:13:52"
"432";"0";"557";"w";"450";"55";"1";"16";"540";"35";"545";"949";"445";"2014-04-27 12:13:54"
"420";"0";"570";"w";"450";"55";"1";"17";"540";"60";"556";"1158";"459";"2014-04-27 12:13:55"
"152";"0";"557";"w";"170";"55";"1";"18";"540";"35";"547";"828";"168";"2014-04-27 12:13:56"
"400";"0";"590";"w";"450";"55";"1";"19";"540";"100";"581";"587";"470";"2014-04-27 12:13:57"
"432";"0";"557";"w";"450";"55";"1";"20";"540";"35";"560";"879";"443";"2014-04-27 12:13:58"
"670";"0";"570";"w";"700";"55";"1";"21";"540";"60";"582";"1310";"713";"2014-04-27 12:13:59"
"432";"0";"557";"w";"450";"55";"1";"22";"540";"35";"563";"1034";"456";"2014-04-27 12:14:01"
"140";"0";"570";"w";"170";"55";"1";"23";"540";"60";"583";"632";"150";"2014-04-27 12:14:02"
"365";"0";"625";"w";"450";"55";"1";"24";"540";"170";"610";"428";"468";"2014-04-27 12:14:02"
"670";"0";"570";"w";"700";"55";"1";"25";"540";"60";"563";"1337";"698";"2014-04-27 12:14:04"
"615";"0";"625";"w";"700";"55";"1";"26";"540";"170";"649";"737";"634";"2014-04-27 12:14:05"
"282";"0";"557";"w";"300";"55";"1";"27";"540";"35";"562";"2283";"296";"2014-04-27 12:14:07"
"282";"0";"557";"w";"300";"55";"1";"28";"540";"35";"567";"651";"299";"2014-04-27 12:14:08"
"282";"0";"557";"w";"300";"55";"1";"29";"540";"35";"568";"1169";"293";"2014-04-27 12:14:10"
"670";"0";"570";"w";"700";"55";"1";"30";"540";"60";"568";"914";"701";"2014-04-27 12:14:11"
"215";"0";"625";"w";"300";"55";"1";"31";"540";"170";"621";"702";"300";"2014-04-27 12:14:12"
"420";"0";"570";"w";"450";"55";"1";"32";"540";"60";"579";"1411";"455";"2014-04-27 12:14:13"
"152";"0";"557";"w";"170";"55";"1";"33";"540";"35";"550";"788";"184";"2014-04-27 12:14:14"
"682";"0";"557";"w";"700";"55";"1";"34";"540";"35";"561";"1220";"713";"2014-04-27 12:14:16"
"270";"0";"570";"w";"300";"55";"1";"35";"540";"60";"561";"799";"297";"2014-04-27 12:14:17"
"215";"0";"625";"w";"300";"55";"1";"36";"540";"170";"648";"574";"322";"2014-04-27 12:14:18"
"282";"0";"557";"w";"300";"55";"1";"37";"540";"35";"562";"1932";"296";"2014-04-27 12:14:20"
"365";"0";"625";"w";"450";"55";"1";"38";"540";"170";"627";"610";"393";"2014-04-27 12:14:21"
"365";"0";"625";"w";"450";"55";"1";"39";"540";"170";"629";"626";"462";"2014-04-27 12:14:22"
"400";"0";"590";"w";"450";"55";"1";"40";"540";"100";"614";"821";"489";"2014-04-27 12:14:23"
"140";"0";"570";"w";"170";"55";"1";"41";"540";"60";"559";"456";"156";"2014-04-27 12:14:23"
"85";"0";"625";"w";"170";"55";"1";"42";"540";"170";"621";"904";"140";"2014-04-27 12:14:25"
